Date	Day	Tactics	Actors	Target	Event Description	Country	Location	Battle	Duration	Nationalist troops	Nat Arrests	Nat injuries	Nat deaths	Rep troops	Rep arrests	Rep injuries	Rep deaths	Workers	Civilian inj	Civiliandeaths	Source	Date	no event	Source Descriptions
20-Jul-36	Mon	attack	Nationalists	workers	open fire on trainload of unarmed miners	Spain	Valladolid	Valladolid		1001	0	0	0	301	0	0	301	0	0	0	Jackson			
20-Jul-36	Mon	obstruction	Republicans	Nationalists	set up barricades around Vigo	Spain	Vigo	Vigo		1001	0	0	0	301	0	0	0	0	0	0	Jackson			
20-Jul-36	Mon	battle	Republicans	Nationalists	navy loyalists & rebels fight on a cruiser	Spain	El Ferrol			31	0	8	0	31	0	8	0	0	0	0	Jackson			
20-Jul-36	Mon	attack	Nationalists	Republicans	take over city	Spain	La Coruna	La Coruna		301	0	0	0	301	0	8	8	0	0	0	Jackson			
20-Jul-36	Mon	rising	Nationalists	Republicans	workers beat back insurgent attempt; control city	Spain	Sama de Langreo			101	0	0	0	3001	0	0	0	0	0	0	Fraser			
20-Jul-36	Mon	hostage	Republicans	Nationalists	hold wife & daughter of General de Llona	Spain	Malaga	Malaga		301	2	0	0	30001	0	0	0	0	0	0	Knickerbocker			
20-Jul-36	Mon	move north	Nationalists	Republicans	fascist forces move toward Madrid	Spain	Ciudad Real			12000	0	0	0	0	0	0	0	0	0	0	New York Times	7/21/1936		
20-Jul-36	Mon	bombing	Republicans	Nationalists	Republican planes bomb city	Spain	Seville	Seville		15000	0	8	3	3001	0	0	0	0	0	0	New York Times	7/21/1936		
20-Jul-36	Mon	bombing	Republicans	Nationalists	Republican planes bomb rebels	Spain	Leon	Leon		9000	0	8	3	0	0	0	0	0	0	0	Times (London)	7/21/1936		
21-Jul-36	Tue	rising	Nationalists	Republicans	Republicans defeat Nationalist challenge	Spain	Sierra mountains	Sierra mountains		301	0	8	3	3001	0	0	0	0	0	0	Broue & Temime			
21-Jul-36	Tue	massacre	Nationalists	workers	shoot workers & labor leaders dead	Spain	Seville	Seville		1000	0	0	0	0	3001	0	0	30001	0	9000	Esenwein			
21-Jul-36	Tue	rising	Nationalists	Republicans	Colonel takes workers' arms & seizes town	Spain	Oviedo	Oviedo		301	0	0	0	0	0	0	0	0	0	0	Jackson			
21-Jul-36	Tue	battle	Nationalists	Republicans	Nationalists continue to attack; Republicans use artillery	Spain	Gijon	Gijon		301	0	0	0	1001	0	0	0	0	0	0	Fraser			
21-Jul-36	Tue	attack	Nationalists	Republicans	take city without struggle	Spain	Alfora	Alfora		1000	0	0	0	0		0	0		0	0	Fraser			
21-Jul-36	Tue	execution	Nationalists	Republicans	murder socialist officer	Spain	Alfora	Alfora		1000	0	0	0	1		0	1		0	0	Fraser			
21-Jul-36	Tue	battle	Nationalists	Republicans	nine-day fire fight	Spain	Baena	Baena		301	0		2	301			10		0	11	Fraser			
21-Jul-36	Tue	arrest	Nationalists	Republicans	arrest Republicans	Spain	Cordoba			1001	0	0	0	0	18	0	0	0	0	0	Fraser			
21-Jul-36	Tue	siege	Republicans	military academy	surround & occasionally shell Alcazar	Spain	Toledo	Alcazar		1000	0	0	1	1001	0	0	0	0	0	0	Jackson			
21-Jul-36	Tue	attack	Nationalists	Republicans	troops eliminate barricades & take over region	Spain	Vigo	Vigo		1001	0	0	0	301	0	8	8	0	0	0	Jackson			
21-Jul-36	Tue	hostage	Republicans	Nationalists	hold wife & daughter of General de Llona	Spain	Malaga	Malaga		301	2	0	0	30001	0	0	0	0	0	0	Knickerbocker			
21-Jul-36	Tue	hostage	Republicans	Nationalists	hold 5 aristocratic women	Spain	Oropesa	Oropesa		31	5	0	0	1001	0	0	0	0	0	0	Knickerbocker			
21-Jul-36	Tue	attack	Republicans	Nationalists	take control of city	Spain	Torrijos	Torrijos		101	0	0	0	3001	0	0	0	0	0	0	Knickerbocker			
22-Jul-36	Wed	battle	Nationalists	Republicans	Republicans defeat Nationalist challenge	Spain	Sierra mountains	Sierra mountains		301	0	8	3	3001	0	0	0	0	0	0	Broue & Temime			
22-Jul-36	Wed	arson	Republicans	church	burn a church	Spain	Barcelona							3							Fraser			
22-Jul-36	Wed	sniping	Nationalists	Republicans	fascist snipers on roofs	Spain	Barcelona	Barcelona		101	0	0	0	30001	0	500	150	0	800	300	Pettifer			
22-Jul-36	Wed	arrest	Nationalists	Republicans	arrest Republicans	Spain	Cordoba			1001	0	0	0	0	18	0	0	0	0	0	Fraser			
22-Jul-36	Wed	siege	Republicans	military academy	surround & occasionally shell Alcazar	Spain	Toledo	Alcazar		1000	0	0	1	1001	0	0	0	0	0	0	Jackson			
22-Jul-36	Wed	battle	Nationalists	Republicans	Nationalists continue to attack; Republicans use artillery	Spain	Gijon	Gijon		301	0	0	0	1001	0	0	0	0	0	0	Fraser			
22-Jul-36	Wed	hostage	Republicans	Nationalists	hold wife & daughter of General de Llona	Spain	Malaga	Malaga		301	2	0	0	30001	0	0	0	0	0	0	Knickerbocker			
